epoch 0, time: 240.91
	eval loss: 3.776, score: 62.751 (92.661)
epoch 44, time: 247.62
	train_loss: 2.127, score: 80.783
	eval loss: 3.818, score: 62.665 (92.661)
epoch 45, time: 246.69
	train_loss: 2.111, score: 81.045
	eval loss: 3.836, score: 62.763 (92.661)
epoch 46, time: 250.39
	train_loss: 2.099, score: 81.240
	eval loss: 3.867, score: 62.742 (92.661)
epoch 47, time: 248.17
	train_loss: 2.085, score: 81.479
	eval loss: 3.840, score: 62.871 (92.661)
epoch 48, time: 248.48
	train_loss: 2.070, score: 81.671
	eval loss: 3.852, score: 62.749 (92.661)
epoch 49, time: 244.05
	train_loss: 2.061, score: 81.832
	eval loss: 3.845, score: 62.745 (92.661)
epoch 50, time: 244.46
	train_loss: 2.048, score: 81.963
	eval loss: 3.894, score: 62.725 (92.661)
epoch 51, time: 245.65
	train_loss: 2.036, score: 82.156
	eval loss: 3.876, score: 62.737 (92.661)
epoch 52, time: 249.31
	train_loss: 2.026, score: 82.274
	eval loss: 3.913, score: 62.698 (92.661)
epoch 53, time: 247.87
	train_loss: 2.013, score: 82.493
	eval loss: 3.919, score: 62.682 (92.661)
epoch 54, time: 246.75
	train_loss: 2.001, score: 82.653
	eval loss: 3.951, score: 62.777 (92.662)
epoch 55, time: 246.37
	train_loss: 1.991, score: 82.819
	eval loss: 3.924, score: 62.784 (92.661)
epoch 56, time: 247.49
	train_loss: 1.978, score: 82.944
	eval loss: 3.879, score: 62.695 (92.661)
epoch 57, time: 251.32
	train_loss: 1.970, score: 83.094
	eval loss: 3.967, score: 62.763 (92.662)
epoch 58, time: 248.06
	train_loss: 1.960, score: 83.184
	eval loss: 3.985, score: 62.779 (92.662)
epoch 59, time: 250.92
	train_loss: 1.949, score: 83.288
	eval loss: 3.984, score: 62.676 (92.661)
epoch 60, time: 247.37
	train_loss: 1.940, score: 83.432
	eval loss: 3.969, score: 62.672 (92.662)
epoch 61, time: 245.62
	train_loss: 1.929, score: 83.609
	eval loss: 4.007, score: 62.714 (92.661)
epoch 62, time: 248.27
	train_loss: 1.920, score: 83.708
	eval loss: 3.978, score: 62.681 (92.661)
epoch 63, time: 245.38
	train_loss: 1.914, score: 83.785
	eval loss: 4.032, score: 62.812 (92.662)
epoch 64, time: 245.32
	train_loss: 1.905, score: 83.948
	eval loss: 4.047, score: 62.749 (92.661)
epoch 65, time: 249.77
	train_loss: 1.896, score: 84.062
	eval loss: 4.020, score: 62.719 (92.661)
epoch 66, time: 246.93
	train_loss: 1.886, score: 84.146
	eval loss: 4.043, score: 62.650 (92.661)
epoch 67, time: 248.09
	train_loss: 1.878, score: 84.294
	eval loss: 4.092, score: 62.685 (92.661)
epoch 68, time: 246.19
	train_loss: 1.870, score: 84.429
	eval loss: 4.068, score: 62.764 (92.661)
epoch 69, time: 246.26
	train_loss: 1.862, score: 84.489
	eval loss: 4.047, score: 62.743 (92.661)
epoch 70, time: 247.23
	train_loss: 1.854, score: 84.644
	eval loss: 4.052, score: 62.673 (92.662)
epoch 71, time: 248.59
	train_loss: 1.846, score: 84.703
	eval loss: 4.083, score: 62.721 (92.661)
epoch 72, time: 246.04
	train_loss: 1.839, score: 84.819
	eval loss: 4.085, score: 62.734 (92.662)
epoch 73, time: 245.66
	train_loss: 1.832, score: 84.901
	eval loss: 4.104, score: 62.653 (92.662)
epoch 74, time: 244.94
	train_loss: 1.821, score: 85.064
	eval loss: 4.118, score: 62.690 (92.661)
epoch 75, time: 247.40
	train_loss: 1.816, score: 85.121
	eval loss: 4.097, score: 62.700 (92.662)
epoch 76, time: 245.91
	train_loss: 1.809, score: 85.140
	eval loss: 4.149, score: 62.670 (92.661)
epoch 77, time: 246.71
	train_loss: 1.802, score: 85.290
	eval loss: 4.112, score: 62.614 (92.661)
epoch 78, time: 246.97
	train_loss: 1.796, score: 85.334
	eval loss: 4.158, score: 62.736 (92.661)
epoch 79, time: 247.32
	train_loss: 1.791, score: 85.369
	eval loss: 4.166, score: 62.736 (92.661)
epoch 80, time: 245.63
	train_loss: 1.782, score: 85.516
	eval loss: 4.166, score: 62.736 (92.661)
epoch 81, time: 247.50
	train_loss: 1.776, score: 85.581
	eval loss: 4.198, score: 62.705 (92.661)
epoch 82, time: 246.91
	train_loss: 1.768, score: 85.658
	eval loss: 4.162, score: 62.695 (92.661)
epoch 83, time: 248.35
	train_loss: 1.764, score: 85.722
	eval loss: 4.159, score: 62.608 (92.661)
epoch 84, time: 247.98
	train_loss: 1.758, score: 85.785
	eval loss: 4.195, score: 62.720 (92.661)
epoch 85, time: 245.79
	train_loss: 1.753, score: 85.823
	eval loss: 4.147, score: 62.780 (92.661)
epoch 86, time: 251.55
	train_loss: 1.744, score: 85.939
	eval loss: 4.154, score: 62.571 (92.662)
epoch 87, time: 246.66
	train_loss: 1.740, score: 86.021
	eval loss: 4.258, score: 62.653 (92.661)
epoch 88, time: 247.64
	train_loss: 1.731, score: 86.079
	eval loss: 4.281, score: 62.616 (92.661)
epoch 89, time: 246.52
	train_loss: 1.728, score: 86.118
	eval loss: 4.236, score: 62.694 (92.661)
epoch 90, time: 249.11
	train_loss: 1.721, score: 86.198
	eval loss: 4.209, score: 62.563 (92.661)
epoch 91, time: 250.34
	train_loss: 1.716, score: 86.264
	eval loss: 4.240, score: 62.645 (92.661)
epoch 92, time: 247.80
	train_loss: 1.712, score: 86.325
	eval loss: 4.254, score: 62.690 (92.661)
epoch 93, time: 248.03
	train_loss: 1.705, score: 86.381
	eval loss: 4.227, score: 62.601 (92.661)
epoch 94, time: 245.53
	train_loss: 1.699, score: 86.454
	eval loss: 4.280, score: 62.681 (92.661)
epoch 95, time: 248.15
	train_loss: 1.695, score: 86.530
	eval loss: 4.286, score: 62.600 (92.662)
epoch 96, time: 246.62
	train_loss: 1.690, score: 86.561
	eval loss: 4.258, score: 62.646 (92.662)
epoch 97, time: 248.73
	train_loss: 1.684, score: 86.605
	eval loss: 4.229, score: 62.545 (92.661)
epoch 98, time: 248.47
	train_loss: 1.679, score: 86.679
	eval loss: 4.270, score: 62.597 (92.661)
epoch 99, time: 246.39
	train_loss: 1.674, score: 86.746
	eval loss: 4.273, score: 62.582 (92.662)
epoch 100, time: 246.64
	train_loss: 1.669, score: 86.803
	eval loss: 4.317, score: 62.525 (92.661)
epoch 101, time: 246.85
	train_loss: 1.666, score: 86.862
	eval loss: 4.320, score: 62.590 (92.661)
epoch 102, time: 249.13
	train_loss: 1.658, score: 86.856
	eval loss: 4.318, score: 62.542 (92.662)
epoch 103, time: 249.95
	train_loss: 1.655, score: 86.907
	eval loss: 4.339, score: 62.626 (92.661)
epoch 104, time: 250.74
	train_loss: 1.650, score: 86.984
	eval loss: 4.314, score: 62.603 (92.661)
epoch 105, time: 246.97
	train_loss: 1.646, score: 87.066
	eval loss: 4.295, score: 62.515 (92.661)
epoch 106, time: 251.11
	train_loss: 1.642, score: 87.081
	eval loss: 4.341, score: 62.548 (92.661)
epoch 107, time: 247.28
	train_loss: 1.638, score: 87.098
	eval loss: 4.335, score: 62.549 (92.661)
epoch 108, time: 247.27
	train_loss: 1.633, score: 87.174
	eval loss: 4.354, score: 62.516 (92.662)
epoch 109, time: 247.02
	train_loss: 1.627, score: 87.222
	eval loss: 4.356, score: 62.582 (92.661)
epoch 110, time: 247.01
	train_loss: 1.623, score: 87.262
	eval loss: 4.386, score: 62.497 (92.661)
epoch 111, time: 245.03
	train_loss: 1.619, score: 87.317
	eval loss: 4.364, score: 62.571 (92.661)
epoch 112, time: 246.94
	train_loss: 1.616, score: 87.362
	eval loss: 4.389, score: 62.583 (92.662)
epoch 113, time: 246.55
	train_loss: 1.610, score: 87.404
	eval loss: 4.378, score: 62.510 (92.661)
epoch 114, time: 248.01
	train_loss: 1.608, score: 87.401
	eval loss: 4.363, score: 62.496 (92.661)
epoch 115, time: 249.48
	train_loss: 1.600, score: 87.507
	eval loss: 4.403, score: 62.561 (92.661)
epoch 116, time: 245.37
	train_loss: 1.598, score: 87.560
	eval loss: 4.400, score: 62.557 (92.661)
epoch 117, time: 247.11
	train_loss: 1.594, score: 87.562
	eval loss: 4.373, score: 62.513 (92.661)
epoch 118, time: 247.84
	train_loss: 1.589, score: 87.624
	eval loss: 4.405, score: 62.577 (92.662)
epoch 119, time: 248.80
	train_loss: 1.586, score: 87.632
	eval loss: 4.393, score: 62.508 (92.661)
epoch 120, time: 246.23
	train_loss: 1.583, score: 87.664
	eval loss: 4.385, score: 62.529 (92.661)
epoch 121, time: 245.57
	train_loss: 1.579, score: 87.711
	eval loss: 4.393, score: 62.587 (92.661)
epoch 122, time: 248.57
	train_loss: 1.574, score: 87.778
	eval loss: 4.399, score: 62.448 (92.661)
epoch 123, time: 247.35
	train_loss: 1.571, score: 87.802
	eval loss: 4.415, score: 62.520 (92.662)
epoch 124, time: 248.93
	train_loss: 1.566, score: 87.839
	eval loss: 4.419, score: 62.463 (92.662)
epoch 125, time: 247.59
	train_loss: 1.562, score: 87.891
	eval loss: 4.459, score: 62.423 (92.662)
epoch 126, time: 247.89
	train_loss: 1.559, score: 87.898
	eval loss: 4.474, score: 62.488 (92.661)
epoch 127, time: 248.53
	train_loss: 1.556, score: 87.913
	eval loss: 4.471, score: 62.450 (92.661)
epoch 128, time: 247.17
	train_loss: 1.554, score: 87.932
	eval loss: 4.455, score: 62.455 (92.661)
epoch 129, time: 251.08
	train_loss: 1.549, score: 87.992
	eval loss: 4.483, score: 62.479 (92.661)
epoch 130, time: 247.80
	train_loss: 1.546, score: 88.011
	eval loss: 4.439, score: 62.445 (92.661)
epoch 131, time: 244.85
	train_loss: 1.542, score: 88.083
	eval loss: 4.481, score: 62.406 (92.662)
epoch 132, time: 250.00
	train_loss: 1.538, score: 88.097
	eval loss: 4.468, score: 62.448 (92.661)
epoch 133, time: 248.59
	train_loss: 1.536, score: 88.125
	eval loss: 4.488, score: 62.518 (92.661)
epoch 134, time: 246.87
	train_loss: 1.532, score: 88.159
	eval loss: 4.479, score: 62.476 (92.661)
epoch 135, time: 246.49
	train_loss: 1.529, score: 88.159
	eval loss: 4.518, score: 62.488 (92.661)
epoch 136, time: 246.33
	train_loss: 1.527, score: 88.219
	eval loss: 4.524, score: 62.468 (92.661)
epoch 137, time: 248.67
	train_loss: 1.523, score: 88.245
	eval loss: 4.461, score: 62.427 (92.662)
epoch 138, time: 247.22
	train_loss: 1.521, score: 88.227
	eval loss: 4.535, score: 62.498 (92.661)
epoch 139, time: 246.63
	train_loss: 1.516, score: 88.313
	eval loss: 4.491, score: 62.435 (92.661)
epoch 140, time: 248.79
	train_loss: 1.513, score: 88.348
	eval loss: 4.528, score: 62.458 (92.661)
epoch 141, time: 245.72
	train_loss: 1.511, score: 88.300
	eval loss: 4.519, score: 62.524 (92.661)
epoch 142, time: 248.34
	train_loss: 1.506, score: 88.371
	eval loss: 4.510, score: 62.463 (92.661)
epoch 143, time: 249.40
	train_loss: 1.503, score: 88.422
	eval loss: 4.547, score: 62.437 (92.661)
epoch 144, time: 247.38
	train_loss: 1.501, score: 88.454
	eval loss: 4.476, score: 62.465 (92.661)
epoch 145, time: 246.47
	train_loss: 1.497, score: 88.459
	eval loss: 4.511, score: 62.419 (92.662)
epoch 146, time: 246.99
	train_loss: 1.496, score: 88.474
	eval loss: 4.533, score: 62.452 (92.661)
epoch 147, time: 247.30
	train_loss: 1.491, score: 88.545
	eval loss: 4.534, score: 62.451 (92.662)
epoch 148, time: 247.41
	train_loss: 1.488, score: 88.548
	eval loss: 4.572, score: 62.436 (92.661)
epoch 149, time: 248.95
	train_loss: 1.487, score: 88.565
	eval loss: 4.509, score: 62.404 (92.662)
epoch 150, time: 249.09
	train_loss: 1.483, score: 88.613
	eval loss: 4.537, score: 62.442 (92.661)
epoch 151, time: 249.31
	train_loss: 1.480, score: 88.604
	eval loss: 4.528, score: 62.402 (92.661)
epoch 152, time: 247.66
	train_loss: 1.480, score: 88.617
	eval loss: 4.566, score: 62.467 (92.661)
epoch 153, time: 248.85
	train_loss: 1.473, score: 88.687
	eval loss: 4.576, score: 62.466 (92.661)
epoch 154, time: 248.09
	train_loss: 1.472, score: 88.720
	eval loss: 4.572, score: 62.404 (92.661)
epoch 155, time: 247.14
	train_loss: 1.469, score: 88.730
	eval loss: 4.613, score: 62.329 (92.661)
epoch 156, time: 247.00
	train_loss: 1.468, score: 88.694
	eval loss: 4.573, score: 62.497 (92.662)
epoch 157, time: 246.85
	train_loss: 1.465, score: 88.718
	eval loss: 4.558, score: 62.495 (92.661)
epoch 158, time: 252.11
	train_loss: 1.461, score: 88.767
	eval loss: 4.613, score: 62.444 (92.661)
epoch 159, time: 248.36
	train_loss: 1.459, score: 88.799
	eval loss: 4.563, score: 62.411 (92.662)
epoch 160, time: 248.22
	train_loss: 1.457, score: 88.825
	eval loss: 4.647, score: 62.465 (92.661)
epoch 161, time: 246.61
	train_loss: 1.453, score: 88.873
	eval loss: 4.610, score: 62.365 (92.661)
epoch 162, time: 248.29
	train_loss: 1.452, score: 88.843
	eval loss: 4.662, score: 62.342 (92.661)
epoch 163, time: 245.95
	train_loss: 1.448, score: 88.879
	eval loss: 4.612, score: 62.412 (92.661)
epoch 164, time: 246.04
	train_loss: 1.447, score: 88.883
	eval loss: 4.598, score: 62.384 (92.661)
epoch 165, time: 246.93
	train_loss: 1.444, score: 88.909
	eval loss: 4.607, score: 62.331 (92.661)
epoch 166, time: 244.99
	train_loss: 1.442, score: 88.959
	eval loss: 4.627, score: 62.427 (92.662)
epoch 167, time: 247.25
	train_loss: 1.439, score: 88.948
	eval loss: 4.616, score: 62.356 (92.661)
epoch 168, time: 249.75
	train_loss: 1.437, score: 88.950
	eval loss: 4.615, score: 62.394 (92.661)
epoch 169, time: 249.62
	train_loss: 1.435, score: 88.976
	eval loss: 4.636, score: 62.405 (92.661)
epoch 170, time: 247.50
	train_loss: 1.432, score: 89.019
	eval loss: 4.629, score: 62.450 (92.661)
epoch 171, time: 247.40
	train_loss: 1.429, score: 89.054
	eval loss: 4.629, score: 62.427 (92.662)
epoch 172, time: 247.32
	train_loss: 1.428, score: 89.055
	eval loss: 4.625, score: 62.472 (92.661)
epoch 173, time: 246.97
	train_loss: 1.424, score: 89.087
	eval loss: 4.589, score: 62.468 (92.661)
epoch 174, time: 246.01
	train_loss: 1.424, score: 89.093
	eval loss: 4.697, score: 62.430 (92.661)
epoch 175, time: 246.39
	train_loss: 1.420, score: 89.113
	eval loss: 4.647, score: 62.354 (92.661)
epoch 176, time: 252.08
	train_loss: 1.417, score: 89.118
	eval loss: 4.712, score: 62.346 (92.661)
epoch 177, time: 250.64
	train_loss: 1.416, score: 89.167
	eval loss: 4.636, score: 62.423 (92.661)
epoch 178, time: 248.95
	train_loss: 1.414, score: 89.169
	eval loss: 4.594, score: 62.401 (92.661)
epoch 179, time: 247.06
	train_loss: 1.411, score: 89.193
	eval loss: 4.720, score: 62.259 (92.661)
epoch 180, time: 246.90
	train_loss: 1.408, score: 89.222
	eval loss: 4.627, score: 62.303 (92.662)
epoch 181, time: 248.62
	train_loss: 1.407, score: 89.213
	eval loss: 4.708, score: 62.382 (92.661)
epoch 182, time: 246.00
	train_loss: 1.404, score: 89.231
	eval loss: 4.629, score: 62.335 (92.662)
epoch 183, time: 246.26
	train_loss: 1.404, score: 89.231
	eval loss: 4.683, score: 62.415 (92.661)
epoch 184, time: 247.69
	train_loss: 1.400, score: 89.249
	eval loss: 4.689, score: 62.334 (92.661)
epoch 185, time: 248.12
	train_loss: 1.400, score: 89.250
	eval loss: 4.665, score: 62.343 (92.662)
epoch 186, time: 249.51
	train_loss: 1.399, score: 89.275
	eval loss: 4.648, score: 62.362 (92.661)
epoch 187, time: 246.69
	train_loss: 1.394, score: 89.254
	eval loss: 4.637, score: 62.514 (92.661)
epoch 188, time: 248.75
	train_loss: 1.392, score: 89.303
	eval loss: 4.659, score: 62.352 (92.661)
epoch 189, time: 247.49
	train_loss: 1.390, score: 89.334
	eval loss: 4.750, score: 62.368 (92.661)
epoch 190, time: 247.02
	train_loss: 1.388, score: 89.350
	eval loss: 4.691, score: 62.318 (92.661)
epoch 191, time: 246.78
	train_loss: 1.386, score: 89.372
	eval loss: 4.626, score: 62.329 (92.661)
epoch 192, time: 248.24
	train_loss: 1.383, score: 89.417
	eval loss: 4.654, score: 62.321 (92.661)
epoch 193, time: 247.23
	train_loss: 1.381, score: 89.428
	eval loss: 4.759, score: 62.306 (92.662)
epoch 194, time: 250.12
	train_loss: 1.380, score: 89.418
	eval loss: 4.704, score: 62.344 (92.661)
epoch 195, time: 250.45
	train_loss: 1.380, score: 89.429
	eval loss: 4.722, score: 62.326 (92.661)
epoch 196, time: 248.13
	train_loss: 1.376, score: 89.466
	eval loss: 4.733, score: 62.361 (92.661)
epoch 197, time: 247.79
	train_loss: 1.375, score: 89.448
	eval loss: 4.746, score: 62.371 (92.662)
epoch 198, time: 245.99
	train_loss: 1.372, score: 89.446
	eval loss: 4.735, score: 62.246 (92.661)
epoch 199, time: 248.27
	train_loss: 1.371, score: 89.487
	eval loss: 4.710, score: 62.371 (92.661)
